CommunityName,Category,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ABBEYDALE,Assault (Non-domestic),1,,,1,,2,1,,2,,1,
ABBEYDALE,Commercial Robbery,,,,,,,,,,,,
ABBEYDALE,Street Robbery,,,,1,,,,,,,,
ABBEYDALE,Violence  'Other' (Non-domestic),,,,,1,,,1,,1,,
ABBEYDALE,Residential Break & Enter,1,3,1,4,,3,5,2,1,4,2,
ABBEYDALE,Commercial Break & Enter,,,,,,,,,,,,
ABBEYDALE,Theft OF Vehicle,,1,1,4,2,3,1,,2,2,5,4
ABBEYDALE,Theft FROM Vehicle,1,4,6,9,6,10,8,7,4,6,1,2
ABBEYDALE,Social Disorder,33,35,34,38,39,43,55,50,32,35,35,24
ABBEYDALE,Physical Disorder,5,2,3,3,3,5,2,,3,2,1,2
,,,,,,,,,,,,,
ACADIA,Assault (Non-domestic),1,2,1,7,5,1,2,3,4,5,2,2
ACADIA,Commercial Robbery,,1,,,,,,,,,,
ACADIA,Street Robbery,,1,,,,,,,,1,,
ACADIA,Violence  'Other' (Non-domestic),1,1,,,,,,1,,3,2,
ACADIA,Residential Break & Enter,4,3,2,1,5,3,2,3,4,6,1,5
ACADIA,Commercial Break & Enter,4,27,3,4,1,,,,2,4,,4
ACADIA,Theft OF Vehicle,6,3,7,4,4,1,2,3,2,5,7,4
ACADIA,Theft FROM Vehicle,17,12,14,8,5,6,9,10,11,22,13,10
ACADIA,Social Disorder,68,93,84,90,72,78,90,90,91,97,60,55
ACADIA,Physical Disorder,8,,4,3,10,7,4,5,2,2,3,4
,,,,,,,,,,,,,
ALBERT PARK/RADISSON HEIGHTS,Assault (Non-domestic),4,2,3,,4,3,4,3,3,4,5,5
ALBERT PARK/RADISSON HEIGHTS,Commercial Robbery,1,,,1,2,,,1,,,,
ALBERT PARK/RADISSON HEIGHTS,Street Robbery,,1,,2,2,2,,2,,1,1,1
ALBERT PARK/RADISSON HEIGHTS,Violence  'Other' (Non-domestic),,,,3,1,2,2,1,1,1,1,1
ALBERT PARK/RADISSON HEIGHTS,Residential Break & Enter,5,6,8,12,3,3,8,14,8,2,8,19
ALBERT PARK/RADISSON HEIGHTS,Commercial Break & Enter,1,,2,3,1,4,1,2,2,1,1,6
ALBERT PARK/RADISSON HEIGHTS,Theft OF Vehicle,10,4,8,4,6,4,8,8,10,5,2,7
ALBERT PARK/RADISSON HEIGHTS,Theft FROM Vehicle,9,1,13,7,10,9,13,16,10,4,3,5
ALBERT PARK/RADISSON HEIGHTS,Social Disorder,80,62,86,96,123,94,121,109,91,97,87,51
ALBERT PARK/RADISSON HEIGHTS,Physical Disorder,2,3,10,9,10,11,7,11,13,7,10,5
,,,,,,,,,,,,,
ALTADORE,Assault (Non-domestic),,1,1,,1,,,,,,1,1
ALTADORE,Commercial Robbery,,,,,,,,,,,,
ALTADORE,Street Robbery,,,,,,,,,,,,
ALTADORE,Violence  'Other' (Non-domestic),1,2,,,1,,1,1,,,,2
ALTADORE,Residential Break & Enter,1,13,9,7,1,8,6,1,3,9,2,3
ALTADORE,Commercial Break & Enter,4,4,,4,,4,1,,,4,8,8
ALTADORE,Theft OF Vehicle,2,1,1,2,2,1,4,3,2,3,2,3
ALTADORE,Theft FROM Vehicle,4,15,20,5,6,8,7,20,10,10,7,6
ALTADORE,Social Disorder,26,21,25,45,39,34,35,38,19,33,26,19
ALTADORE,Physical Disorder,1,2,5,4,2,2,3,1,2,2,2,3
,,,,,,,,,,,,,
ALYTH/BONNYBROOK,Assault (Non-domestic),,,,,,,,,,2,1,
ALYTH/BONNYBROOK,Commercial Robbery,,,,,,,,,,,,
ALYTH/BONNYBROOK,Street Robbery,,,,,,,,,,,,
ALYTH/BONNYBROOK,Violence  'Other' (Non-domestic),,,,,,,1,,,,,
ALYTH/BONNYBROOK,Residential Break & Enter,,,,,,1,,,1,,,
